model_id,outcome,subgroup,term,sumsq,df,statistic,p.value
SLS_Composite,Composite PBT,SLS at baseline,Residuals,67.72739682784172,257,NA,NA
SLS_SLS,single-leg stance,SLS at baseline,(Intercept),521.6550553971083,1,9.82040543578566,0.0019284431183963077
SLS_SLS,single-leg stance,SLS at baseline,FOF_status,50.08598758111475,1,0.9428926253265998,0.33245880362955005
SLS_SLS,single-leg stance,SLS at baseline,G_SLS,348.45113192719145,2,3.2798794478072506,0.03923280521560001
SLS_SLS,single-leg stance,SLS at baseline,Seisominen0,1625.7140308548696,1,30.60484268380518,7.858475464660316e-8
SLS_SLS,single-leg stance,SLS at baseline,Age,378.521146443627,1,7.1258412731476035,0.00808780524129694
SLS_SLS,single-leg stance,SLS at baseline,Sex,10.439575765656627,1,0.19652999723793893,0.6579137926000717
SLS_SLS,single-leg stance,SLS at baseline,FOF_status:G_SLS,227.63040546768934,2,2.142625522437697,0.11946258149899878
SLS_SLS,single-leg stance,SLS at baseline,Residuals,13492.35374621426,254,NA,NA
FTSST_Composite,Composite PBT,FTSST at baseline,(Intercept),11.432368458823944,1,45.23467842540232,1.078334568005539e-10
FTSST_Composite,Composite PBT,FTSST at baseline,FOF_status,0.5330986734677481,1,2.10932206656702,0.14759161090137551
FTSST_Composite,Composite PBT,FTSST at baseline,G_FTSST,11.899088834951968,2,23.540680084926066,3.911576004664102e-10
FTSST_Composite,Composite PBT,FTSST at baseline,Composite0,2.772745068443541,1,10.970975260148869,0.0010547675316940114
FTSST_Composite,Composite PBT,FTSST at baseline,Age,10.864582873786006,1,42.98810996968163,2.882555903488495e-10
FTSST_Composite,Composite PBT,FTSST at baseline,Sex,0.46066904801101316,1,1.8227383347875445,0.17814401726084608
FTSST_Composite,Composite PBT,FTSST at baseline,FOF_status:G_FTSST,0.5105484246892047,2,1.0100485255785596,0.3656042773626197
FTSST_Composite,Composite PBT,FTSST at baseline,Residuals,66.72193498859117,264,NA,NA
FTSST_FTSST,five-times sit-to-stand,FTSST at baseline,(Intercept),205.7819078362445,1,2.819456657334966,0.09437725975331403
FTSST_FTSST,five-times sit-to-stand,FTSST at baseline,FOF_status,69.39517700203578,1,0.9507963836209852,0.3304592201441764
FTSST_FTSST,five-times sit-to-stand,FTSST at baseline,G_FTSST,375.7791661824849,2,2.574310547806041,0.07822541627037019
FTSST_FTSST,five-times sit-to-stand,FTSST at baseline,FTSST0_sec,2717.365463793176,1,37.23113575854585,3.9707053520030576e-9
FTSST_FTSST,five-times sit-to-stand,FTSST at baseline,Age,615.7803319271407,1,8.436922247263372,0.004005874761017915
FTSST_FTSST,five-times sit-to-stand,FTSST at baseline,Sex,436.8563250979787,1,5.985450747577551,0.015114017088881822
FTSST_FTSST,five-times sit-to-stand,FTSST at baseline,FOF_status:G_FTSST,10.680906012785272,2,0.07317055197116908,0.929462195414698
FTSST_FTSST,five-times sit-to-stand,FTSST at baseline,Residuals,18246.592592662484,250,NA,NA
