moderator_type,group_level,estimate,std.error,df,conf.low,conf.high,p.value
MWS,<1.3 m/s,0.09540862866046558,0.08367688257515166,245,-0.06940921823784675,0.2602264755587779,0.25531517218215444
MWS,≥1.3 m/s,0.11111181393224608,0.11034359385789234,245,-0.10623129206057057,0.3284549199250627,0.31494646818761146
SLS,5–<10 s,-0.1251022877862613,0.22610788836666773,257,-0.570362419752122,0.3201578441795993,0.5805486958676027
SLS,<5 s,0.20704216944621276,0.09815812909956612,257,0.013745501063201104,0.4003388378292244,0.03588848252099183
SLS,≥10 s,0.01732299882133867,0.11354047459159242,257,-0.20626516108459225,0.2409111587272696,0.8788562044683499
FTSST,fastest (best),0.1962366738071941,0.11409741841809573,264,-0.02842005878225004,0.4208934063966382,0.08662170938107619
FTSST,intermediate,0.13824315717711405,0.11715569184802282,264,-0.09243528673286919,0.36892160108709726,0.2390642787746585
FTSST,slowest (worst),-0.03690229243832435,0.12355480368356751,264,-0.2801805267412856,0.20637594186463684,0.7654256990220536
