effect,group,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,NA,(Intercept),3.8746568204278877,0.45452982541792236,8.52453811334667,263.86853931837754,1.2018073026343574e-15,2.979689860324691,4.769623780531084
fixed,NA,time_f12,0.12050296098077,0.06720382240303824,1.7930968309820743,264.0000050284263,0.07410204864215467,-0.011820726676558216,0.25282664863809823
fixed,NA,FOF_statusFOF,-0.056092586446552954,0.08247521390073212,-0.6801144706828706,405.32159661481904,0.4968202516956949,-0.21822516738727935,0.10603999449417342
fixed,NA,age,-0.04357923437671364,0.005071209670596333,-8.593459392813683,261.0000331486204,7.849515670762023e-16,-0.053564926577688965,-0.03359354217573832
fixed,NA,sexmale,-0.053456378952490634,0.11459260093175878,-0.4664906679648935,260.99999270031395,0.6412534489262933,-0.2791000648908886,0.17218730698590737
fixed,NA,BMI,-0.015747475872778718,0.007097382313364054,-2.2187723836049984,261.0000069557773,0.02736269634596044,-0.02972289393879942,-0.0017720578067580168
fixed,NA,time_f12:FOF_statusFOF,-0.12240100825124992,0.07930820310806821,-1.543358737865513,264.00000511370786,0.12394157172680846,-0.2785581064856788,0.033756089983178944
ran_pars,ID,sd__(Intercept),0.4358751761764308,NA,NA,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.4115376841301599,NA,NA,NA,NA,NA,NA
