"term","estimate","std_error","statistic","p_value"
"(Intercept)",3.25265250254066,0.549844787789437,5.9155830422935,1.04221392395576e-08
"FOF_status1",0.0745495790705661,0.0377772956127573,1.97339639752801,0.0495134143860227
"cComposite_Z0",-0.073711988113969,0.0899099394253663,-0.819842484435849,0.413059731681032
"Age",-0.0356867951602175,0.00594550062900042,-6.00231963413606,6.535912082552e-09
"Sex1",0.0547317763935197,0.0888829844952743,0.615773386822195,0.5385848392549
"BMI",-0.0169426194597493,0.0070891811445936,-2.38992615849155,0.0175672188030753
"FOF_status1:cComposite_Z0",0.0203419305243744,0.0809551872817287,0.251273960414461,0.801801550643724
