"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",3.38193385800475,0.498265916727381,6.78740757589311,7.74909952783444e-11,2.40076577687785,4.36310193913165
"FOF_status1",-0.149099158141132,0.0742242025806258,-2.00876739604139,0.0455996247321349,-0.295258901311069,-0.00293941497119549
"zComposite_Z0",-0.0266202811736879,0.0730092479157975,-0.364615195110479,0.715696193857561,-0.170387577465108,0.117147015117732
"Age",-0.0356867951602175,0.00561381056573768,-6.35696462185986,9.23248479708152e-10,-0.046741317566189,-0.024632272754246
"Sex1",-0.10946355278704,0.117656065051133,-0.930368976214414,0.353046424333767,-0.341147823582395,0.122220718008316
"BMI",-0.0169426194597493,0.0072899508483008,-2.32410613079764,0.0208938624745294,-0.031297739577769,-0.00258749934172971
"FOF_status1:zComposite_Z0",-0.0202925735751892,0.0800695183290663,-0.25343693828395,0.800131642730239,-0.177962711182994,0.137377564032616
