"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",3.26488324535126,0.517078941838278,6.31409052115758,1.23885780827758e-09,2.24647720592032,4.28328928478221
"FOF_status1",0.0756350267981395,0.037961472779771,1.99241550076118,0.0474173396244683,0.000868506608454861,0.150401546987824
"cComposite_Z0",-0.0887602782247986,0.0862242577384032,-1.02941191438365,0.304285044329369,-0.258582132725507,0.0810615762759103
"Age",-0.0355514522070452,0.00570512071647436,-6.23149867878961,1.95883247587562e-09,-0.0467878977924802,-0.0243150066216102
"Sex1",0.0427651439723957,0.0602604715941651,0.709671578085304,0.47857184350131,-0.0759200764937064,0.161450364438498
"BMI",-0.0170885100013683,0.00746267516759754,-2.28986383804638,0.0228662237423001,-0.0317865238751758,-0.00239049612756082
"FOF_status1:cComposite_Z0",0.0262776835085665,0.0813122317820263,0.32317011761538,0.746837640163809,-0.133869754776252,0.186425121793385
