"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",3.01721769091067,0.499213781079557,6.04393910037078,5.26232470176552e-09,2.03414719457222,4.00028818724913
"FOF_status1",0.0791006012287328,0.0398324615491823,1.98583261371043,0.0481144279132744,0.000661024378796796,0.157540178078669
"Comp_Quartile1",0.0286252784015589,0.0605444615505879,0.472797637776348,0.636758835288431,-0.0906011454731369,0.147851702276255
"Comp_Quartile2",-0.0295594995754238,0.0575010625952172,-0.514068753537826,0.607645651899355,-0.142792748111205,0.0836737489603576
"Age",-0.0331439644038315,0.00549513599277082,-6.03150940166619,5.6293887962952e-09,-0.0439651922476991,-0.0223227365599639
"Sex1",0.0575829670376839,0.0592724657258601,0.971496061999678,0.332214756110943,-0.0591385949639052,0.174304529039273
"BMI",-0.0156776378032806,0.00731818783297503,-2.14228415026992,0.0331104892102825,-0.0300888876884561,-0.00126638791810505
"FOF_status1:Comp_Quartile1",-0.0329095201988368,0.0599403198155673,-0.549038114913257,0.583455990120149,-0.15094624551589,0.0851272051182169
"FOF_status1:Comp_Quartile2",0.0543106701641212,0.0571312055152804,0.950630564754935,0.342685073963546,-0.0581942419416012,0.166815582269844
