contrast,PainVAS0_G2,estimate,SE,df,t.ratio,p.value
FOF - No FOF,low,-0.15986159217573304,0.11204410938067977,249,-1.4267737327679506,0.154897816661086
FOF - No FOF,high,-0.08096374173967165,0.10706116074538269,249,-0.7562382209942875,0.4502212489915789
