FOF_status_f,SRM_3class,emmean,SE,df,lower.CL,upper.CL
No FOF,good,0.21211533537110347,0.13076717293664195,254,-0.04541067499308857,0.4696413457352955
FOF,good,0.24257456914444311,0.11485469636528768,254,0.01638575537484291,0.4687633829140433
No FOF,intermediate,0.19337095628157286,0.0905948752082446,254,0.014958161633752715,0.371783750929393
FOF,intermediate,0.011376370745562869,0.0755593849574146,254,-0.13742631816079576,0.16017905965192147
No FOF,poor,-0.24334086405018537,0.14858917587914935,254,-0.5359645920709833,0.04928286397061263
FOF,poor,-0.19073092581726367,0.07704035344591811,254,-0.34245015637359877,-0.03901169526092854
