FOF_status_f,PainVAS0_G2,emmean,SE,df,lower.CL,upper.CL
No FOF,low,0.22054318111717836,0.09369942585540636,249,0.035998707418222115,0.4050876548161346
FOF,low,0.06068158894144533,0.08849106826838675,249,-0.11360483247002144,0.2349680103529121
No FOF,high,-0.03702413123958158,0.10826644417920579,249,-0.2502588845788533,0.17621062209969018
FOF,high,-0.11798787297925323,0.07038205378389369,249,-0.2566079227268778,0.02063217676837137
