contrast,SRM_3class,estimate,SE,df,t.ratio,p.value
FOF - No FOF,good,0.03045923377333964,0.15165081286232623,254,0.20085110787366217,0.8409757356149941
FOF - No FOF,intermediate,-0.18199458553601,0.09969300011501316,254,-1.82555029265894,0.06909221750032035
FOF - No FOF,poor,0.05260993823292169,0.15794176808953891,254,0.333097057664294,0.7393358006164353
