Outcome,Without_FOF_Baseline,Without_FOF_Followup,Without_FOF_Delta,With_FOF_Baseline,With_FOF_Followup,With_FOF_Delta,P_Model_A,P_Model_B,P_Model_C,N_without,N_with,N_total
Composite,"0.02 (0.45), 95% CI [-0.09, 0.13]","0.15 (0.74), 95% CI [-0.03, 0.32]","0.12 (0.49), 95% CI [0.01, 0.24]","0.00 (0.52), 95% CI [-0.08, 0.08]","0.00 (0.80), 95% CI [-0.11, 0.12]","0.00 (0.61), 95% CI [-0.09, 0.09]",0.142,0.043,0.216,70,181,251
HGS,"19.00 (6.17), 95% CI [17.51, 20.49]","19.58 (7.13), 95% CI [17.85, 21.31]","0.58 (4.36), 95% CI [-0.47, 1.64]","18.41 (6.93), 95% CI [17.38, 19.44]","18.55 (6.58), 95% CI [17.57, 19.53]","0.14 (3.87), 95% CI [-0.43, 0.72]",0.323,0.288,0.362,68,177,245
HGS (female),"18.12 (5.81), 95% CI [16.59, 19.65]","18.55 (6.35), 95% CI [16.88, 20.22]","0.43 (4.02), 95% CI [-0.63, 1.49]","17.64 (6.23), 95% CI [16.69, 18.60]","18.02 (6.24), 95% CI [17.06, 18.97]","0.37 (3.05), 95% CI [-0.10, 0.84]",0.813,0.686,0.642,58,166,224
HGS (male),"24.10 (5.94), 95% CI [19.85, 28.35]","25.55 (8.77), 95% CI [19.28, 31.82]","1.45 (6.18), 95% CI [-2.97, 5.87]","29.91 (7.17), 95% CI [25.09, 34.73]","26.59 (6.61), 95% CI [22.15, 31.03]","-3.32 (9.79), 95% CI [-9.90, 3.26]",0.730,0.721,0.759,10,11,21
MWS,"1.32 (0.49), 95% CI [1.20, 1.44]","1.29 (0.48), 95% CI [1.17, 1.40]","-0.03 (0.47), 95% CI [-0.15, 0.08]","1.12 (0.39), 95% CI [1.06, 1.18]","1.14 (0.46), 95% CI [1.07, 1.22]","0.02 (0.29), 95% CI [-0.02, 0.07]",0.912,0.609,0.766,66,160,226
FTSST,"-16.49 (7.06), 95% CI [-18.21, -14.76]","-15.31 (7.45), 95% CI [-17.13, -13.49]","1.18 (6.48), 95% CI [-0.41, 2.76]","-19.06 (10.45), 95% CI [-20.64, -17.48]","-17.62 (11.88), 95% CI [-19.42, -15.83]","1.44 (10.87), 95% CI [-0.20, 3.08]",0.574,0.283,0.477,67,171,238
SLS,"11.02 (12.64), 95% CI [7.96, 14.08]","10.21 (13.69), 95% CI [6.89, 13.52]","-0.81 (6.72), 95% CI [-2.44, 0.81]","9.76 (13.77), 95% CI [7.69, 11.84]","9.44 (12.98), 95% CI [7.49, 11.40]","-0.32 (8.18), 95% CI [-1.55, 0.91]",0.809,0.948,0.781,68,172,240
