Outcome,Without_FOF_Baseline,Without_FOF_Followup,Without_FOF_Delta,With_FOF_Baseline,With_FOF_Followup,With_FOF_Delta,P_Model_A,P_Model_B,P_Model_C,N_without,N_with,N_total
Composite,0.03 (0.45),0.14 (0.76),"0.11, 95% CI [-0.01, 0.23]",0.00 (0.51),0.02 (0.81),"0.01, 95% CI [-0.07, 0.10]",0.224,0.224,0.095,77,199,276
HGS,18.96 (6.24),19.57 (7.36),"0.61, 95% CI [-0.40, 1.63]",18.41 (6.87),18.65 (6.54),"0.24, 95% CI [-0.29, 0.78]",0.496,0.479,0.330,77,199,276
HGS (female),18.16 (5.94),18.64 (6.72),"0.48, 95% CI [-0.53, 1.50]",17.59 (6.19),18.02 (6.14),"0.42, 95% CI [-0.02, 0.87]",0.901,0.899,0.655,77,199,276
HGS (male),24.10 (5.94),25.55 (8.77),"1.45, 95% CI [-2.97, 5.87]",28.89 (6.85),26.82 (6.25),"-2.07, 95% CI [-7.39, 3.24]",0.306,0.248,0.271,77,199,276
MWS,1.31 (0.49),1.28 (0.48),"-0.03, 95% CI [-0.14, 0.08]",1.12 (0.41),1.16 (0.48),"0.03, 95% CI [-0.01, 0.07]",0.220,0.204,0.267,77,199,276
FTSST,16.26 (6.99),15.22 (7.43),"-1.04, 95% CI [-2.56, 0.48]",18.87 (10.19),17.32 (11.52),"-1.55, 95% CI [-3.07, -0.03]",0.700,0.677,0.711,77,199,276
SLS,10.74 (12.52),10.47 (14.16),"-0.26, 95% CI [-2.06, 1.53]",9.71 (13.82),9.56 (13.05),"-0.15, 95% CI [-1.29, 0.98]",0.918,0.915,0.960,77,199,276
