FOF_status_f,emmean,SE,df,lower.CL,upper.CL
Ei FOF,0.09463485803374626,0.07568645582623001,260,-0.05440161298167763,0.24367132904917016
FOF,-0.05541006288695742,0.06330021930846005,260,-0.18005642394652505,0.0692362981726102
