kaatumisenpelkoOn,Test,B_Mean,B_SD,B_n,B_SE,B_CI_lower,B_CI_upper,B_Skew,B_Skew_label,B_Kurtosis,B_Kurtosis_label,Baseline_p_value,Baseline_p_value_sig,Baseline_d,Baseline_d_label,C_n,C_Mean,C_SD,C_SE,C_CI_lower,C_CI_upper,C_Skew,C_Skew_label,C_Kurtosis,C_Kurtosis_label,Change_p_value,Change_p_value_sig,Change_d,Change_d_label,Change_p_between,Change_p_between_sig,Change_d_between,Change_d_between_label,F_Mean,F_SD,F_n,F_SE,F_CI_lower,F_CI_upper,F_Skew,F_Skew_label,F_Kurtosis,F_Kurtosis_label,Follow_up_p_value,Follow_up_p_value_sig,Follow_up_d,Follow_up_d_label
0,FTSST,0.22856160388088656,0.7256465165406707,72,0.08551826209838409,0.060945810168053755,0.3961773975937194,-2.2729893245894024,Substantial nonnormality,10.42367712733349,Too peaked,0.0197446381960169,*,0.27733869464719774,Small,72,0.10785228249132044,0.6725664003895739,0.07926271041894907,-0.047502629929819726,0.2632071949124606,-1.9155667709132829,Generally Acceptable,16.364360814466462,Too peaked,0.1779143496457525,,0.16035930791197514,Very Small,0.6364206265447887,,-0.053588907458081377,Very Small,0.336413886372207,0.7719054532268995,72,0.09096993006860268,0.15811282343774571,0.5147149493066683,-2.4649641896941956,Substantial nonnormality,11.107863483692674,Too peaked,0.0857105985500521,,0.19895477702740516,Very Small
0,HGS,0.009343104776428822,0.9636250797990302,76,0.11053537742908658,-0.20730623498458087,0.22599244453743852,-0.07588867944189555,Excellent,3.4776373414682786,Too peaked,0.9220691659693743,,0.01292956522155538,Very Small,76,6.480412812191457e-8,1.6773006127792984e-7,1.9239957550115284e-8,2.7093811323688612e-8,1.0251444492014053e-7,2.063074735988052,Substantial nonnormality,5.5204071176713665,Too peaked,0.0011968673957537357,**,0.3863596520991767,Small,0.26317016766333695,,0.17046460122813664,Very Small,0.009343169580556943,0.9636250303628184,76,0.11053537175836417,-0.20730615906583683,0.22599249822695072,-0.075888696327672,Excellent,3.4776372173690473,Too peaked,0.9220690190485361,,0.01292958942190853,Very Small
0,MWS,-0.244181652110251,0.7703840596350331,72,0.0907906321143256,-0.42213129105432917,-0.06623201316617283,1.1859442148327326,Generally Acceptable,4.372284616009115,Too peaked,0.007245472573887554,**,-0.3379067412017181,Small,72,0.48204811690558885,1.6892566359307855,0.19908080373850556,0.09184974157811798,0.8722464922330597,-0.21331895287042502,Excellent,2.618976789466567,Too peaked,0.018019696390929596,*,0.2853610911760479,Small,0.01744696708644045,*,0.3190546779432616,Small,0.23786646479533785,1.0832968049754224,72,0.12766775280597367,-0.012362330704370539,0.48809526029504624,0.1991366201233474,Excellent,2.683728560236261,Too peaked,0.0789582025951081,,0.249277434324503,Small
0,SLS,0.04423894754775833,0.9291613145123052,74,0.1080128088241587,-0.16746615774759271,0.2559440528431094,1.365516557423166,Generally Acceptable,4.738533488156251,Too peaked,0.5637846281977144,,0.07599288802099305,Very Small,74,-0.019579068054709794,0.5759724425225384,0.06695543642475527,-0.15081172344723012,0.11165358733781053,1.9635714381247984,Generally Acceptable,12.021200616979364,Too peaked,0.770795493830208,,-0.0339930639197962,Very Small,0.9179851231754113,,-0.014050577337998355,Very Small,0.02465987949304854,1.0506657007263192,74,0.1221374068185549,-0.21472943787131904,0.2640491968574161,1.536719890251988,Generally Acceptable,4.67401372847647,Too peaked,0.6317011747509769,,0.06828796065496957,Very Small
1,FTSST,-0.04266793997893435,1.058545535046864,187,0.07740851594626708,-0.19438863123361783,0.10905275127574911,-2.1187584915586237,Substantial nonnormality,8.085247702027203,Too peaked,0.0197446381960169,*,0.27733869464719774,Small,187,0.16111577978930278,1.091934649417041,0.07985016980676081,0.0046094469680516,0.31762211261055395,-0.8266524085627429,Excellent,10.621330139281735,Too peaked,0.045056839049416035,*,0.1475507530375731,Very Small,0.6364206265447887,,-0.053588907458081377,Very Small,0.11844783981036842,1.1962256671273135,187,0.08747668434032846,-0.05300646149667536,0.2899021411174122,-3.540412099505959,Substantial nonnormality,23.4994753534696,Too peaked,0.0857105985500521,,0.19895477702740516,Very Small
1,HGS,-0.003586242237417605,1.0134822667796703,198,0.07202504843037787,-0.14475533716095823,0.13758285268612302,-0.2044735825189305,Excellent,3.1473872508926317,Too peaked,0.9220691659693743,,0.01292956522155538,Very Small,198,4.084507795220873e-8,1.287045886484541e-7,9.146636832701528e-9,2.291766976011374e-8,5.8772486144303724e-8,3.055667934303845,Substantial nonnormality,10.985601495340012,Too peaked,1.3435016598541874e-5,***,0.31735525812349763,Small,0.26317016766333695,,0.17046460122813664,Very Small,-0.0035862013923396528,1.0134822592929453,198,0.0720250478983195,-0.14475529527304584,0.13758289248836655,-0.20447353153050332,Excellent,3.1473873618916466,Too peaked,0.9220690190485361,,0.01292958942190853,Very Small
1,MWS,0.07984853239549905,1.0255935516840364,176,0.07730702268963448,-0.07167323207618453,0.23137029686718263,2.210109070158757,Substantial nonnormality,12.549623296890363,Too peaked,0.007245472573887554,**,-0.3379067412017181,Small,176,-0.10916584979901325,1.9154696663434518,0.1443839586492836,-0.3921584087516091,0.1738267091535826,-0.48858316189937745,Excellent,4.4378251423504835,Too peaked,0.4506176837027205,,-0.05699168810509336,Very Small,0.01744696708644045,*,0.3190546779432616,Small,-0.029317317403514204,1.067146864817082,176,0.08043922151823585,-0.18697819157925646,0.12834355677222806,0.6214986231566783,Excellent,3.030786862359985,Too peaked,0.0789582025951081,,0.249277434324503,Small
1,SLS,-0.03169784318298526,1.025190516090603,189,0.0745716371704132,-0.17785825203699512,0.11446256567102459,1.8575608606861584,Generally Acceptable,6.28993642037328,Too peaked,0.5637846281977144,,0.07599288802099305,Very Small,189,-0.011394665250234066,0.5850092506958855,0.04255316148513163,-0.09479886176109206,0.07200953126062393,-0.02578445945999379,Excellent,10.668593818310276,Too peaked,0.7891662073100698,,-0.01947775225208795,Very Small,0.9179851231754113,,-0.014050577337998355,Very Small,-0.04309250843321933,0.9684861471841795,189,0.07044700125377214,-0.18116863089061272,0.09498361402417407,1.6610781403572137,Generally Acceptable,5.439836887449362,Too peaked,0.6317011747509769,,0.06828796065496957,Very Small
