FOF_status,AgeClass_final,emmean,SE,df,lower.CL,upper.CL
nonFOF,65_84,0.08038576165614131,0.07905915481542158,231,-0.07538343637085634,0.23615495968313896
FOF,65_84,0.06126570100653478,0.05536976024550265,231,-0.04782859893286549,0.17036000094593506
nonFOF,85plus,-0.057766797869692646,0.15942337436242962,231,-0.37187654555383315,0.2563429498144479
FOF,85plus,-0.12671275521759975,0.10269854362282417,231,-0.32905832564542153,0.07563281521022203
