contrast,AgeClass_final,estimate,SE,df,t.ratio,p.value
FOF - nonFOF,65_84,-0.01912006064960653,0.07911417398366663,231,-0.24167680311689693,0.8092450060021646
FOF - nonFOF,85plus,-0.06894595734790711,0.177294642387328,231,-0.3888778387182385,0.6977247256113212
