Outcome,N_model_score,N_model_cat,AIC_score,AIC_cat,FOF_beta_score,FOF_p_score,Frailty_score_beta,Frailty_score_lcl,Frailty_score_ucl,Frailty_score_p,Frailty_cat_prefrail_beta,Frailty_cat_prefrail_lcl,Frailty_cat_prefrail_ucl,Frailty_cat_prefrail_p,Frailty_cat_frail_beta,Frailty_cat_frail_lcl,Frailty_cat_frail_ucl,Frailty_cat_frail_p,Frailty_cat_overall_p,Frailty_cat_contrasts,Frailty_score_dist_all,Frailty_score_dist_model,Agreement_Flag,frailty_source,fallback_used
MWS,235,235,138.9819784491322,140.39372454716482,-0.031,0.520,-0.028,-0.093,0.037,0.399,-0.069,-0.193,0.055,0.278,-0.071,-0.213,0.071,0.330,0.528,"frailty_cat_3pre-frail: b=-0.069, p=0.278 | frailty_cat_3frail: b=-0.071, p=0.330",0=38;1=148;2=56;3=5;other=0,0=36;1=143;2=51;3=5;other=0,consistent_no_clear_association,K15_RData,FALSE
FTSST,225,225,1636.6284744792474,1638.6566624620166,1.290,0.337,-0.317,-2.241,1.607,0.747,-0.027,-3.632,3.577,0.988,0.402,-3.792,4.597,0.851,0.962,"frailty_cat_3pre-frail: b=-0.027, p=0.988 | frailty_cat_3frail: b=0.402, p=0.851",0=38;1=148;2=56;3=5;other=0,0=34;1=137;2=49;3=5;other=0,consistent_no_clear_association,K15_RData,FALSE
SLS,234,234,1628.1560446470792,1630.128997957031,-0.728,0.516,-0.370,-1.918,1.178,0.640,-0.094,-3.096,2.909,0.951,-0.683,-4.095,2.728,0.695,0.885,"frailty_cat_3pre-frail: b=-0.094, p=0.951 | frailty_cat_3frail: b=-0.683, p=0.695",0=38;1=148;2=56;3=5;other=0,0=36;1=140;2=53;3=5;other=0,consistent_no_clear_association,K15_RData,FALSE
HGS,235,235,1315.6045953415862,1316.8674223032895,-0.502,0.377,0.621,-0.252,1.494,0.165,0.959,-0.556,2.475,0.216,1.545,-0.334,3.423,0.108,0.267,"frailty_cat_3pre-frail: b=0.959, p=0.216 | frailty_cat_3frail: b=1.545, p=0.108",0=38;1=148;2=56;3=5;other=0,0=36;1=142;2=52;3=5;other=0,consistent_no_clear_association,K15_RData,FALSE
HGS (Women),211,211,1105.5427009077264,1106.7771071200405,-0.222,0.662,0.610,-0.189,1.408,0.136,0.292,-1.089,1.672,0.679,1.317,-0.382,3.016,0.130,0.228,"frailty_cat_3pre-frail: b=0.292, p=0.679 | frailty_cat_3frail: b=1.317, p=0.130",0=30;1=137;2=52;3=4;other=0,0=28;1=131;2=48;3=4;other=0,consistent_no_clear_association,K15_RData,FALSE
HGS (Men),24,24,173.17790398002086,174.550360343572,-0.754,0.838,0.580,-4.266,5.426,0.817,2.911,-5.213,11.034,0.492,1.557,-10.194,13.307,0.798,0.780,"frailty_cat_3pre-frail: b=2.911, p=0.492 | frailty_cat_3frail: b=1.557, p=0.798",0=8;1=11;2=4;3=1;other=0,0=8;1=11;2=4;3=1;other=0,consistent_no_clear_association,K15_RData,FALSE
