Parameter,Std_Coefficient,CI,CI_low,CI_high,model,outcome
FOF_status_fFOF,-0.16030824191963214,0.95,-0.41514894223375454,0.09453245839449026,extended,Composite
FOF_status_fFOF,-0.12613593996694458,0.95,-0.39806550495676885,0.14579362502287968,extended,HGS
FOF_status_fFOF,-0.041346919888133354,0.95,-0.3148842359976182,0.2321903962213515,extended,MWS
FOF_status_fFOF,-0.09486134120254697,0.95,-0.3573582620319817,0.16763557962688777,extended,FTSST
FOF_status_fFOF,0.03871472319313465,0.95,-0.23593137178297166,0.31336081816924094,extended,SLS
