contrast,Walk500m_G_final,estimate,SE,df,t.ratio,p.value
FOF - No FOF,no_difficulty,-0.5757914494681203,0.6663670120075248,247,-0.8640755606035587,0.38838470891494226
FOF - No FOF,difficulty_or_unable,-0.45915679359529366,0.9436511927473282,247,-0.4865746974350907,0.6269912135299931
