FOF_status_f,Walk500m_G_final,emmean,SE,df,lower.CL,upper.CL
No FOF,no_difficulty,0.06306561363512672,0.054132687945359845,227,-0.04360119759908085,0.1697324248693343
FOF,no_difficulty,0.042659262959026924,0.046243023578548634,227,-0.04846120517532645,0.1337797310933803
No FOF,difficulty_or_unable,-0.08366771213458984,0.07313510526481241,227,-0.22777820736345905,0.06044278309427936
FOF,difficulty_or_unable,-0.09769960069057533,0.046266285332509496,227,-0.1888659054019194,-0.006533295979231274
