FOF_status_f,Balance_problem,emmean,SE,df,lower.CL,upper.CL
No FOF,no_balance_problem,1.899300311982279,0.8401145757465152,247,0.2445982475474111,3.554002376417147
FOF,no_balance_problem,0.9978532399286375,0.7524226398105204,247,-0.48412949357610935,2.479835973433384
No FOF,balance_problem,1.054835626009711,0.6717409930563857,247,-0.2682353455756079,2.3779065975950298
FOF,balance_problem,0.6911181049460784,0.4989377880666861,247,-0.2915971243485691,1.673833334240726
