contrast,Balance_problem,estimate,SE,df,t.ratio,p.value
FOF - No FOF,no_balance_problem,-0.9014470720536416,0.9316327397373844,247,-0.9675991768041001,0.33419105610616284
FOF - No FOF,balance_problem,-0.3637175210636324,0.6729952428795521,247,-0.540445901976053,0.5893765461122868
