FOF_status_f,Balance_problem,emmean,SE,df,lower.CL,upper.CL
No FOF,no_balance_problem,0.06297720362909805,0.07108416753956262,227,-0.07709198133981969,0.20304638859801577
FOF,no_balance_problem,0.08059488726202266,0.0634118374528592,227,-0.04435620518004732,0.20554597970409264
No FOF,balance_problem,-0.020969016064805265,0.05399772557059392,227,-0.12736988805418153,0.08543185592457102
FOF,balance_problem,-0.05743045591466496,0.039890266650213814,227,-0.13603301020044914,0.02117209837111922
