contrast,Balance_problem,estimate,SE,df,t.ratio,p.value
FOF - No FOF,no_balance_problem,0.017617683632924604,0.08283637225699608,227,0.21268053094197004,0.8317670175691282
FOF - No FOF,balance_problem,-0.036461439849859695,0.05629937645215793,227,-0.647634878884385,0.5178755825211963
