FOF_status_f,Walk500m_G_final,emmean,SE,df,lower.CL,upper.CL
No FOF,no_difficulty,0.272863341817427,1.236712936317163,242,-2.163232516721195,2.7089592003560488
FOF,no_difficulty,0.5303489403471234,1.0762045255040578,242,-1.5895750214158157,2.6502729021100624
No FOF,difficulty_or_unable,-0.4165510728413202,1.7093771945710696,242,-3.783708140653388,2.9506059949707475
FOF,difficulty_or_unable,-2.009370766020075,1.0533555496248936,242,-4.084286469296741,0.06554493725659105
