contrast,Balance_problem,estimate,SE,df,t.ratio,p.value
FOF - No FOF,no_balance_problem,-0.13998674208813872,0.12782411394567939,254,-1.095151280670156,0.2744877239140344
FOF - No FOF,balance_problem,-0.09154564801416237,0.08962417969162531,254,-1.0214391733251937,0.30801828173045276
