contrast,Balance_problem,estimate,SE,df,t.ratio,p.value
FOF - No FOF,no_balance_problem,1.4632324568527166,2.177203620232381,238,0.6720696416518637,0.5021912462218092
FOF - No FOF,balance_problem,0.8377911304941357,1.5485272928520577,238,0.5410244523046815,0.588996745895962
