contrast,Walk500m_G_final,estimate,SE,df,t.ratio,p.value
FOF - No FOF,no_difficulty,-0.24448544070570227,1.5120625208697553,238,-0.16169003419585554,0.8716871306690612
FOF - No FOF,difficulty_or_unable,2.241068710719847,2.126143950946603,238,1.0540531414733592,0.29292747360333454
