contrast,Walk500m_G_final,estimate,SE,df,t.ratio,p.value
FOF - No FOF,no_difficulty,-0.04352833643684798,0.08689287205911207,254,-0.5009425445994722,0.6168453844124026
FOF - No FOF,difficulty_or_unable,-0.20288859649567798,0.12202282626001057,254,-1.6627101888572533,0.09760391212677691
