FOF_status_f,Balance_problem,emmean,SE,df,lower.CL,upper.CL
No FOF,no_balance_problem,-1.4322273359511102,1.8392253970344703,238,-5.055467396751395,2.1910127248491738
FOF,no_balance_problem,0.031005120901606453,1.6656089223264412,238,-3.2502136915017577,3.3122239333049706
No FOF,balance_problem,0.11246605690908074,1.5065786164376351,238,-2.855465990257838,3.080398104076
FOF,balance_problem,0.9502571874032164,1.097915418881254,238,-1.2126159087789856,3.113130283585418
