term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-17.170061725110617,7.900031027097856,-2.1734169987707235,0.030735511941568996,-32.73297693120686,-1.6071465190143694
FOF_status_fFOF,-0.24448544070570227,1.5120625208697553,-0.16169003419585554,0.8716871306690612,-3.2232206783136057,2.7342497969022013
Walk500m_G_finaldifficulty_or_unable,2.317600883390436,2.2774054710291947,1.0176496512687643,0.30987784849084615,-2.168845829787519,6.804047596568391
FTSST0,0.5059922799102149,0.06235758298013582,8.114366460794352,2.6083187552852925e-14,0.38314899321321655,0.6288355666072133
age,0.24749316782627842,0.08798537079930625,2.812889979071724,0.005319815279734507,0.07416361248280182,0.420822723169755
sex,3.576268009912941,1.8850569727939372,1.8971670679069053,0.059016451125399993,-0.13725940860274521,7.2897954284286275
BMI,0.14551083182240973,0.12251830459232689,1.1876660577910316,0.23614892916064933,-0.09584796525379793,0.3868696288986174
FOF_status_fFOF:Walk500m_G_finaldifficulty_or_unable,2.485554151425549,2.592819517017004,0.9586298371763022,0.338718063490806,-2.6222524065026986,7.593360709353797
