contrast,Walk500m_G_final,estimate,SE,df,t.ratio,p.value
FOF - No FOF,no_difficulty,0.2574855985296965,1.3233305370486357,242,0.19457391129502308,0.8458897716228335
FOF - No FOF,difficulty_or_unable,-1.592819693178755,1.8042079914984168,242,-0.8828359594261074,0.37820102988285964
