FOF_status_f,Walk500m_G_final,emmean,SE,df,lower.CL,upper.CL
No FOF,no_difficulty,-1.4355367402724644,1.422939278739807,238,-4.238700837032544,1.3676273564876158
FOF,no_difficulty,-1.6800221809781666,1.2350682076116604,238,-4.113083737682792,0.7530393757264584
No FOF,difficulty_or_unable,0.8820641431179717,1.9937293518904606,238,-3.0455458549879415,4.809674141223885
FOF,difficulty_or_unable,3.1231328538378182,1.244512952583107,238,0.6714653239883228,5.574800383687314
