contrast,Walk500m_G_final,estimate,SE,df,t.ratio,p.value
FOF - No FOF,no_difficulty,-0.020406350676099798,0.0568769961119956,227,-0.3587803869936797,0.7200928525265986
FOF - No FOF,difficulty_or_unable,-0.01403188855598549,0.0795507008246156,227,-0.17638925126406382,0.8601454130207538
