"FOF_status","Comp_Quartile","N"
"0","Q1_Weakest",16
"0","Q2",21
"0","Q3_Q4_Strongest",40
"1","Q1_Weakest",53
"1","Q2",48
"1","Q3_Q4_Strongest",98
