"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",3.38219937995609,0.498480849000035,6.78501368054733,7.85896813538124e-11,2.40060806160093,4.36379069831125
"FOF_status1",-0.148896751423554,0.0742686393223941,-2.00484016917565,0.046020814481867,-0.295143997894818,-0.00264950495229022
"cComposite_Z0",-0.0533700575895947,0.146373651743788,-0.364615195110479,0.715696193857561,-0.341604010961863,0.234863895782674
"Age",-0.0356867951602175,0.00561381056573768,-6.35696462185986,9.23248479708156e-10,-0.046741317566189,-0.024632272754246
"Sex1",-0.10946355278704,0.117656065051133,-0.930368976214415,0.353046424333766,-0.341147823582395,0.122220718008316
"BMI",-0.0169426194597493,0.0072899508483008,-2.32410613079764,0.0208938624745295,-0.031297739577769,-0.0025874993417297
"FOF_status1:cComposite_Z0",-0.0406838610487487,0.160528537490326,-0.25343693828395,0.800131642730239,-0.356791127887288,0.275423405789791
