"term","GVIF","Df","GVIF_adj"
"FOF_status",4.65876346970152,1,2.15841688969057
"Comp_Quartile",14.2750629229905,2,1.94376835669938
"Age",1.13938149524947,1,1.06741814451951
"Sex",1.05871309051596,1,1.02893784579826
"BMI",1.03258972782891,1,1.01616422286406
"FOF_status:Comp_Quartile",24.5439310851404,2,2.22579944975078
