"term","estimate","std_error","statistic","p_value"
"(Intercept)",3.38219937995609,0.546555628313073,6.18820702733434,2.36603694005679e-09
"FOF_status1",-0.148896751423554,0.0756915209896746,-1.96715232402141,0.0502329523956611
"cComposite_Z0",-0.0533700575895947,0.143364440336955,-0.372268447211574,0.709997408524121
"Age",-0.0356867951602175,0.0059455006290003,-6.00231963413618,6.53591208254771e-09
"Sex1",-0.10946355278704,0.177765968990549,-0.615773386822196,0.538584839254899
"BMI",-0.0169426194597493,0.00708918114459362,-2.38992615849155,0.0175672188030756
"FOF_status1:cComposite_Z0",-0.0406838610487487,0.161910374563457,-0.251273960414461,0.801801550643725
