"term","VIF"
"FOF_status",1.03102321297132
"cComposite_Z0",4.90282213445249
"Age",1.21009058177008
"Sex",1.04910299024033
"BMI",1.03116235339526
"FOF_status:cComposite_Z0",4.54084079363895
