FOF_label,mean_delta,sd_delta,n,se_delta,lower,upper
Ei kaatumisen pelkoa,0.12050296098071436,0.5089296129832016,75,0.05876612981088469,0.0034088912890778006,0.23759703067235094
Kaatumisen pelko,-0.0018980472704581265,0.6080906893894542,191,0.04399989805569709,-0.08868908619050554,0.08489299164958929
