FOF_status_f,emmean,SE,df,lower.CL,upper.CL,FOF_label
No FOF,0.09461368710602464,0.07582307270637947,259,-0.05469449604463661,0.24392187025668588,Ei kaatumisen pelkoa
FOF,-0.05448547103510762,0.06351929365851738,259,-0.17956547627167468,0.07059453420145945,Kaatumisen pelko
