FOF_status_factor,frailty_cat_4,n,row_total,row_proportion
nonFOF,robust,5,71,0.07042253521126761
nonFOF,pre-frail,63,71,0.8873239436619719
nonFOF,frail,3,71,0.04225352112676056
FOF,robust,30,168,0.17857142857142858
FOF,pre-frail,133,168,0.7916666666666666
FOF,frail,5,168,0.02976190476190476
