model,n,r2,adj_r2,aic,bic,delta_r2_vs_M0,delta_adj_r2_vs_M0
M0: base,248,0.44063259863376525,0.4383587474086992,439.89216308894265,450.4324493274376,0,0
M1: + frailty_count_2 (weak+slow),248,0.5253132844488566,0.5214382908525207,401.1825998788396,415.2363148634995,0.08468068581509136,0.08307954344382151
M2: + frailty_count_3_balance (weak+slow+bal),248,0.5860736946163678,0.5826947043683381,367.2147619135641,381.268476898224,0.14544109598260258,0.14433595695963897
