"kaatumisenpelkoOn","Test","B_Mean","B_SD","B_n","B_SE","B_CI_lower","B_CI_upper","Baseline_p_value","Baseline_p_value_sig","Baseline_d","Baseline_d_label","C_n","C_Mean","C_SD","C_SE","C_CI_lower","C_CI_upper","Change_p_value","Change_p_value_sig","Change_d","Change_d_label","Change_p_between","Change_p_between_sig","Change_d_between","Change_d_between_label","F_Mean","F_SD","F_n","F_SE","F_CI_lower","F_CI_upper","Follow_up_p_value","Follow_up_p_value_sig","Follow_up_d","Follow_up_d_label"
"0","FTSST",0.228561603880887,0.725646516540671,72,0.0855182620983841,0.0609458101680538,0.396177397593719,0.0197446381960169,"*",0.277338694647198,"Small",72,0.10785228249132,0.672566400389574,0.0792627104189491,-0.0475026299298197,0.263207194912461,0.177914349645752,"",0.160359307911975,"Very Small",0.636420626544789,"",-0.0535889074580814,"Very Small",0.336413886372207,0.7719054532269,72,0.0909699300686027,0.158112823437746,0.514714949306668,0.0857105985500521,"",0.198954777027405,"Very Small"
"0","HGS",0.00934310477642882,0.96362507979903,76,0.110535377429087,-0.207306234984581,0.225992444537439,0.922069165969374,"",0.0129295652215554,"Very Small",76,6.48041281219146e-08,1.6773006127793e-07,1.92399575501153e-08,2.70938113236886e-08,1.02514444920141e-07,0.00119686739575374,"**",0.386359652099177,"Small",0.263170167663337,"",0.170464601228137,"Very Small",0.00934316958055694,0.963625030362818,76,0.110535371758364,-0.207306159065837,0.225992498226951,0.922069019048536,"",0.0129295894219085,"Very Small"
"0","MWS",-0.244181652110251,0.770384059635033,72,0.0907906321143256,-0.422131291054329,-0.0662320131661728,0.00724547257388755,"**",-0.337906741201718,"Very Small",72,0.482048116905589,1.68925663593079,0.199080803738506,0.091849741578118,0.87224649223306,0.0180196963909296,"*",0.285361091176048,"Small",0.0174469670864405,"*",0.319054677943262,"Small",0.237866464795338,1.08329680497542,72,0.127667752805974,-0.0123623307043705,0.488095260295046,0.0789582025951081,"",0.249277434324503,"Small"
"0","SLS",0.0442389475477583,0.929161314512305,74,0.108012808824159,-0.167466157747593,0.255944052843109,0.563784628197714,"",0.075992888020993,"Very Small",74,-0.0195790680547098,0.575972442522538,0.0669554364247553,-0.15081172344723,0.111653587337811,0.770795493830208,"",-0.0339930639197962,"Very Small",0.917985123175411,"",-0.0140505773379984,"Very Small",0.0246598794930485,1.05066570072632,74,0.122137406818555,-0.214729437871319,0.264049196857416,0.631701174750977,"",0.0682879606549696,"Very Small"
"1","FTSST",-0.0426679399789344,1.05854553504686,187,0.0774085159462671,-0.194388631233618,0.109052751275749,0.0197446381960169,"*",0.277338694647198,"Small",187,0.161115779789303,1.09193464941704,0.0798501698067608,0.0046094469680516,0.317622112610554,0.045056839049416,"*",0.147550753037573,"Very Small",0.636420626544789,"",-0.0535889074580814,"Very Small",0.118447839810368,1.19622566712731,187,0.0874766843403285,-0.0530064614966754,0.289902141117412,0.0857105985500521,"",0.198954777027405,"Very Small"
"1","HGS",-0.00358624223741761,1.01348226677967,198,0.0720250484303779,-0.144755337160958,0.137582852686123,0.922069165969374,"",0.0129295652215554,"Very Small",198,4.08450779522087e-08,1.28704588648454e-07,9.14663683270153e-09,2.29176697601137e-08,5.87724861443037e-08,1.34350165985419e-05,"***",0.317355258123498,"Small",0.263170167663337,"",0.170464601228137,"Very Small",-0.00358620139233965,1.01348225929295,198,0.0720250478983195,-0.144755295273046,0.137582892488367,0.922069019048536,"",0.0129295894219085,"Very Small"
"1","MWS",0.0798485323954991,1.02559355168404,176,0.0773070226896345,-0.0716732320761845,0.231370296867183,0.00724547257388755,"**",-0.337906741201718,"Very Small",176,-0.109165849799013,1.91546966634345,0.144383958649284,-0.392158408751609,0.173826709153583,0.45061768370272,"",-0.0569916881050934,"Very Small",0.0174469670864405,"*",0.319054677943262,"Small",-0.0293173174035142,1.06714686481708,176,0.0804392215182358,-0.186978191579256,0.128343556772228,0.0789582025951081,"",0.249277434324503,"Small"
"1","SLS",-0.0316978431829853,1.0251905160906,189,0.0745716371704132,-0.177858252036995,0.114462565671025,0.563784628197714,"",0.075992888020993,"Very Small",189,-0.0113946652502341,0.585009250695885,0.0425531614851316,-0.0947988617610921,0.0720095312606239,0.78916620731007,"",-0.0194777522520879,"Very Small",0.917985123175411,"",-0.0140505773379984,"Very Small",-0.0430925084332193,0.968486147184179,189,0.0704470012537721,-0.181168630890613,0.0949836140241741,0.631701174750977,"",0.0682879606549696,"Very Small"
