FOF_status_f,emmean,SE,df,lower.CL,upper.CL
No FOF,0.11032809290498359,0.07568645582622988,260,-0.03870837811044002,0.2593645639204072
FOF,-0.039716828015720004,0.06330021930845989,260,-0.1643631890752873,0.08492953304384729
