model_id,n_complete,aic,r_squared,adj_r_squared,note
delta_linear_sls,256,403.09365496236546,0.19689258476867086,0.1808304364640443,NA
delta_linear_sls10,256,403.09365496236546,0.19689258476867086,0.1808304364640443,NA
ancova_level_sls,256,391.12109834766784,0.5757395639479624,0.5655164209105639,NA
delta_spline_df3,256,394.0354875716164,0.23683061446106798,0.21528954309504966,anova_vs_linear_p=0.001791
delta_interaction_sls_x_fof,256,404.61675668045746,0.19838728799192565,0.17907131902787554,NA
overadj_sls_only,239,376.2557718703549,0.2199685322771409,0.20322965957922545,NA
overadj_frailty_balance_only,239,346.8775303350686,0.3159407418668683,0.29824955415652854,NA
overadj_both_sls_plus_frailty_balance,239,346.1102407684708,0.32381552479205106,0.303325086149386,corr_sls_frailty_count3_balance=-0.4746; se_sls_only=0.002914; se_sls_both=0.002989; cond_number=825.84
