model_id,term,estimate,std_error,statistic,p_value,conf_low,conf_high
delta_linear_sls,(Intercept),2.1781515761610266,0.5611856916185136,3.8813384031211267,1.329670713295833e-4,1.0728972581074259,3.2834058942146274
delta_linear_sls,single_leg_stance_clean,0.009309918358872387,0.0028186808511890932,3.302934546472294,0.0010966728507471623,0.003758530950888502,0.014861305766856271
delta_linear_sls,FOF_status1,-0.15486753739470127,0.0734434403539112,-2.1086639820850093,0.03596862715766568,-0.2995142751790516,-0.010220799610350939
delta_linear_sls,age,-0.024396943552252227,0.005874315104171396,-4.15315540954345,4.5032108908948915e-5,-0.0359663977123674,-0.012827489392137055
delta_linear_sls,sex1,-0.10080849322304132,0.11454471437150043,-0.8800798341169308,0.3796612701695655,-0.3264041241525962,0.12478713770651355
delta_linear_sls,BMI,-0.008646120144343246,0.007688109216447979,-1.1246094326867384,0.2618331808876127,-0.02378783889458389,0.006495598605897402
delta_linear_sls10,(Intercept),2.1781515761610275,0.5611856916185136,3.881338403121128,1.3296707132958276e-4,1.0728972581074268,3.2834058942146283
delta_linear_sls10,SLS10,0.0930991835887239,0.028186808511890937,3.3029345464722946,0.0010966728507471623,0.03758530950888504,0.14861305766856275
delta_linear_sls10,FOF_status1,-0.15486753739470133,0.0734434403539112,-2.10866398208501,0.0359686271576656,-0.29951427517905166,-0.010220799610350995
delta_linear_sls10,age,-0.024396943552252238,0.005874315104171396,-4.1531554095434515,4.503210890894873e-5,-0.03596639771236741,-0.012827489392137065
delta_linear_sls10,sex1,-0.10080849322304125,0.11454471437150043,-0.8800798341169301,0.3796612701695655,-0.3264041241525961,0.12478713770651362
delta_linear_sls10,BMI,-0.008646120144343244,0.007688109216447979,-1.1246094326867382,0.26183318088761276,-0.02378783889458389,0.006495598605897403
ancova_level_sls,(Intercept),1.8894616806321125,0.5525986228363158,3.419229803603377,7.335962738842109e-4,0.8010983199487038,2.977825041315521
ancova_level_sls,Composite_Z0,0.6487941648606215,0.09397041817869349,6.904238348997011,4.1767106133419384e-11,0.46371596179010366,0.8338723679311393
ancova_level_sls,single_leg_stance_clean,0.018205492756054223,0.0036356908997194795,5.007436896645673,1.0450986178120193e-6,0.011044865489712192,0.025366120022396254
ancova_level_sls,FOF_status1,-0.15454181430932787,0.07160967515150155,-2.158113606609307,0.031875326558143326,-0.2955797095999593,-0.013503919018696492
ancova_level_sls,age,-0.024259229974384136,0.0057277571354479515,-4.235380341852935,3.213461593678808e-5,-0.03554025882153896,-0.012978201127229312
ancova_level_sls,sex1,-0.09213271210985315,0.11170875498072938,-0.8247582038287576,0.4102982654482037,-0.31214722348260227,0.12788179926289595
ancova_level_sls,BMI,-0.0018853326120345367,0.007711321259992139,-0.2444889207010497,0.8070535283938814,-0.017073064131807893,0.013302398907738818
delta_spline_df3,(Intercept),1.86582217726521,0.5613238810316608,3.3239672145001267,0.001021590695711583,0.7602523273863404,2.9713920271440797
delta_spline_df3,"splines::ns(single_leg_stance_clean, df = 3)1",0.10998390417106192,0.1732405970940823,0.6348621859767236,0.5261035617110918,-0.23122655808509013,0.45119436642721394
delta_spline_df3,"splines::ns(single_leg_stance_clean, df = 3)2",0.8348667143793052,0.17402003874787664,4.797532056574674,2.7751411749305974e-6,0.4921210828184177,1.1776123459401926
delta_spline_df3,"splines::ns(single_leg_stance_clean, df = 3)3",0.4293035344924032,0.20017133557562303,2.1446803722314978,0.03295040762529895,0.035050945388837185,0.8235561235959692
delta_spline_df3,FOF_status1,-0.1266380686430093,0.07264739511328938,-1.7431880172100405,0.08254011118883975,-0.26972260935749937,0.016446472071480783
delta_spline_df3,age,-0.022981741042807164,0.005822959480412914,-3.946745829180576,1.032182734139848e-4,-0.03445050026747969,-0.011512981818134633
delta_spline_df3,sex1,-0.07119301284624747,0.11242146022930245,-0.6332688856828347,0.5271416090078491,-0.29261558385897585,0.15022955816648093
delta_spline_df3,BMI,-0.007600167327132815,0.007530922374955666,-1.0091947504873275,0.31386486240573963,-0.022432888686193503,0.007232554031927872
delta_interaction_sls_x_fof,(Intercept),2.2438208241217907,0.5699946775113115,3.9365645200735444,1.0731549429937427e-4,1.1211952924044908,3.3664463558390905
delta_interaction_sls_x_fof,single_leg_stance_clean,0.006335208259237788,0.005198172709529172,1.2187375474509008,0.22409719713947637,-0.0039027845365418486,0.016573201055017424
delta_interaction_sls_x_fof,FOF_status1,-0.19727013423920972,0.09632266411658488,-2.0480136845098293,0.04160765890664188,-0.3869811724061618,-0.007559096072257604
delta_interaction_sls_x_fof,age,-0.02480529551934088,0.005911077225241293,-4.1964086365541124,3.7753995287612366e-5,-0.03644738004192283,-0.013163210996758932
delta_interaction_sls_x_fof,sex1,-0.09933473407225586,0.1146880337758261,-0.8661298899449229,0.3872527223338623,-0.32521704487092706,0.12654757672641537
delta_interaction_sls_x_fof,BMI,-0.008652738628831999,0.007696365795188044,-1.1242629130546138,0.2619841556764235,-0.023811014809300993,0.0065055375516369935
delta_interaction_sls_x_fof,single_leg_stance_clean:FOF_status1,0.00385190957023779,0.0056530291062286755,0.6813885967779011,0.4962588620384806,-0.007281939668323563,0.014985758808799142
overadj_sls_only,(Intercept),1.982527213419108,0.5809878521565857,3.4123384956503098,7.592938621502043e-4,0.8378663420679981,3.127188084770218
overadj_sls_only,single_leg_stance_clean,0.01146733480258099,0.002913832908334014,3.935481258991425,1.0963931928321301e-4,0.0057265082027741845,0.017208161402387796
overadj_sls_only,FOF_status1,-0.19229316296802793,0.07510405880174979,-2.560356471221071,0.011088522666835469,-0.34026299929232673,-0.044323326643729094
overadj_sls_only,age,-0.023098734381886078,0.006088502298715267,-3.7938286377522,1.891116170765764e-4,-0.0350942869921536,-0.011103181771618554
overadj_sls_only,sex1,-0.0891071578086512,0.11472241063429325,-0.7767197125302991,0.4381119509142536,-0.31513297578867594,0.13691866017137352
overadj_sls_only,BMI,-0.005528955809342519,0.00792674306872852,-0.6975066255338316,0.48618120803682086,-0.021146205971023558,0.01008829435233852
overadj_frailty_balance_only,(Intercept),2.2187379653172843,0.4820809111224881,4.602418212642199,6.877407325100022e-6,1.2689219375814969,3.168553993053072
overadj_frailty_balance_only,frailty_cat_3_balancepre-frail,-0.2343543326709049,0.07849019380770518,-2.985778494126982,0.0031317404056443172,-0.3889990040914344,-0.07970966125037546
overadj_frailty_balance_only,frailty_cat_3_balancefrail,-0.6294739791788901,0.0891623187884583,-7.059865509693013,1.9172621814033295e-11,-0.8051453187848838,-0.4538026395728965
overadj_frailty_balance_only,FOF_status1,-0.12345235110240065,0.07135100778769561,-1.7302117367386343,0.08492226709579492,-0.26403109883596326,0.017126396631161986
overadj_frailty_balance_only,age,-0.021164837637028654,0.005495011670831276,-3.8516456205864387,1.5183148512942587e-4,-0.031991340070817484,-0.010338335203239823
overadj_frailty_balance_only,sex1,-0.11582413662550153,0.10817394836576087,-1.070721170626717,0.2854074564113497,-0.3289529861002268,0.0973047128492237
overadj_frailty_balance_only,BMI,-0.010352736530564252,0.0069905769997951825,-1.480955939812633,0.13997512337183277,-0.024125864493806867,0.0034203914326783637
overadj_both_sls_plus_frailty_balance,(Intercept),1.799197686025336,0.5441956097965229,3.30615986905529,0.0010965778184113945,0.7269763360029857,2.871419036047686
overadj_both_sls_plus_frailty_balance,single_leg_stance_clean,0.004902949438647376,0.0029892671318503166,1.640184440663393,0.10232780627754472,-9.867637122698211e-4,0.010792662589564574
overadj_both_sls_plus_frailty_balance,frailty_cat_3_balancepre-frail,-0.1921846953945712,0.08232357950809292,-2.3345036324092083,0.02042748331733703,-0.35438574584377247,-0.029983644945369925
