"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.105126119608073,0.0665766465234591,1.57902395355751,0.115492764640096
"FOF_num",-0.090220441344726,0.0783892869670628,-1.15092820505734,0.250772527414727
"cComposite_Z0_plot",0.28385095808234,0.14970786797653,1.89603233229425,0.0590155179787658
"FOF_num:cComposite_Z0_plot",-0.247848625015523,0.170240853130224,-1.45587043566995,0.146581676299457
