"term","VIF"
"FOF_status",1.02978980930379
"cComposite_Z0",4.90282213445248
"Age",1.21009058177008
"Sex",1.04910299024033
"BMI",1.03116235339526
"FOF_status:cComposite_Z0",4.5410568955036
