"term","estimate","std_error","statistic","p_value"
"(Intercept)",3.38193385800475,0.546292113739814,6.19070598484877,2.33359294049724e-09
"FOF_status1",-0.149099158141132,0.0755545912255146,-1.97339639752801,0.0495134143860227
"cComposite_Z0",-0.0533700575895946,0.143364440336956,-0.372268447211571,0.709997408524123
"Age",-0.0356867951602175,0.00594550062900052,-6.00231963413596,6.53591208255558e-09
"Sex1",-0.10946355278704,0.177765968990549,-0.615773386822196,0.5385848392549
"BMI",-0.0169426194597493,0.00708918114459367,-2.38992615849153,0.0175672188030764
"FOF_status1:cComposite_Z0",-0.0406838610487489,0.161910374563458,-0.251273960414461,0.801801550643724
