"term","GVIF","Df","GVIF_adj"
"FOF_status",4.61870897297379,1,2.14911818497117
"Comp_Quartile",14.2680425709083,2,1.94352933051025
"Age",1.15501353431945,1,1.07471555972706
"Sex",1.05853851678551,1,1.02885301029132
"BMI",1.0335994848595,1,1.01666094882192
"FOF_status:Comp_Quartile",24.090752710391,2,2.21545326190087
