FOF_status_f,n,mean,sd,min,p25,median,p75,max
No FOF,77,0.11038401882638889,0.5147498638628891,-1.2998605966568029,-0.21770223230123498,0.11938208341598494,0.447219431400299,1.641106128692624
FOF,199,0.014647636389425319,0.6106243062331717,-2.934346616268157,-0.33199515938758895,0.057075545191764804,0.433072663843632,1.7814106345176728
