contrast,neuro_any,estimate,SE,df,t.ratio,p.value
FOF - No FOF,no,-0.09497943006518764,0.07923758088466938,258,-1.1986664535282896,0.23175750346596316
FOF - No FOF,yes,-0.423846243321067,0.19411311207173212,258,-2.183501355459387,0.029900059322834377
