FOF_status_f,Walk500m_3class,emmean,SE,df,lower.CL,upper.CL
No FOF,no difficulty,0.19670227670496498,0.08246820979530975,254,0.034293710598292365,0.35911084281163763
FOF,no difficulty,0.153173940268117,0.07165643638825087,254,0.012057513526042951,0.29429036701019107
No FOF,some difficulty,-0.07282037192805385,0.11621830379860666,254,-0.30169460264228537,0.15605385878617767
FOF,some difficulty,-0.2757089684237318,0.07114212290670568,254,-0.4158125331760233,-0.13560540367144033
