FOF_status_f,neuro_any,emmean,SE,df,lower.CL,upper.CL
No FOF,no,0.08806365366212299,0.08071414545713937,258,-0.07087875346076081,0.24700606078500678
FOF,no,-0.006915776403064656,0.0679617410671223,258,-0.1407461311233115,0.1269145783171822
No FOF,yes,0.20096645610099814,0.17277212409450615,258,-0.1392566501684794,0.5411895623704757
FOF,yes,-0.22287978722006885,0.09991697811218005,258,-0.4196364390268764,-0.026123135413261278
