FOF_status_f,SRH_3class,emmean,SE,df,lower.CL,upper.CL
No FOF,good,0.1681127057506309,0.11147105580663098,250,-0.05142935957348843,0.3876547710747502
FOF,good,0.24905653097478586,0.10750950941671401,250,0.03731672490107138,0.4607963370485003
No FOF,fair,0.025324976917735595,0.09699388761756227,250,-0.1657043289167251,0.21635428275219626
FOF,fair,-0.12047809355253823,0.07038845365325691,250,-0.25910803993802695,0.018151852832950496
No FOF,poor,0.07990425381976336,0.19323240941070205,250,-0.3006666660715127,0.4604751737110394
FOF,poor,-0.13733783804467872,0.09854498946834198,250,-0.33142203648228263,0.05674636039292516
