contrast,SRH_3class,estimate,SE,df,t.ratio,p.value
FOF - No FOF,good,0.08094382522415497,0.13852364139577933,250,0.5843322079073012,0.5595237368390541
FOF - No FOF,fair,-0.14580307047027383,0.09958954668234693,250,-1.4640399050648418,0.14443930943745828
FOF - No FOF,poor,-0.21724209186444207,0.20616024156402993,250,-1.0537535764235624,0.29301311292106835
