term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),3.106489830646839,0.4700865048793815,6.608336547427429,2.2699374851357145e-10,2.180726128572397,4.032253532721281,delta_walk500m_3class
FOF_status_fFOF,-0.04352833643684798,0.08689287205911207,-0.5009425445994722,0.6168453844124026,-0.21465060028904032,0.12759392741534437,delta_walk500m_3class
Walk500m_3classsome difficulty,-0.26952264863301884,0.13213352443630869,-2.0397749154336284,0.042407468587404656,-0.5297394799621544,-0.009305817303883246,delta_walk500m_3class
Composite_Z0,-0.21123389132173143,0.06965355576495212,-3.0326361519079676,0.0026754151048121178,-0.34840595003495944,-0.07406183260850341,delta_walk500m_3class
age,-0.03264400753468733,0.005286352349362542,-6.175147885975427,2.6051644733926126e-9,-0.04305467253063634,-0.02223334253873832,delta_walk500m_3class
sex,-0.046637675950675465,0.11118210640730614,-0.41947105930717243,0.6752264555987615,-0.265593883720291,0.1723185318189401,delta_walk500m_3class
BMI,-0.012753899020206095,0.006955690950470468,-1.8335919624697312,0.067884673937137,-0.026452071884039925,9.442738436277378e-4,delta_walk500m_3class
FOF_status_fFOF:Walk500m_3classsome difficulty,-0.15936026005883,0.14895796354724827,-1.0698337723198144,0.28570972590563437,-0.45271025916666185,0.13398973904900183,delta_walk500m_3class
