Outcome,beta_cat,beta_score,lcl_cat,lcl_score,ucl_cat,ucl_score,Model_N_cat,Model_N_score,se_cat,se_score,d_beta,abs_d_beta,z_diff,sign_flip,qc_note
MWS,-0.033,-0.031,-0.127,-0.124,0.06,0.063,235,235,0.047704081632653064,0.047704081632653064,-0.0020000000000000018,0.0020000000000000018,0.029645546334238167,FALSE,
FTSST,1.313,1.29,-1.339,-1.337,3.966,3.918,225,225,1.3533163265306123,1.340561224489796,0.02299999999999991,0.02299999999999991,0.012074248631450964,FALSE,
SLS,-0.687,-0.728,-2.906,-2.918,1.531,1.463,234,234,1.131887755102041,1.1176020408163265,0.040999999999999925,0.040999999999999925,0.025775438926202678,FALSE,
HGS,-0.474,-0.502,-1.598,-1.615,0.65,0.611,235,235,0.5734693877551021,0.5678571428571428,0.028000000000000025,0.028000000000000025,0.03469427894355739,FALSE,
HGS (Women),-0.262,-0.222,-1.261,-1.218,0.737,0.773,211,211,0.5096938775510204,0.5079081632653062,-0.04000000000000001,0.04000000000000001,0.055589958674590594,FALSE,
HGS (Men),0.171,-0.754,-7.807,-7.863,8.15,6.354,24,24,4.0706632653061225,3.6267857142857145,0.925,0.925,0.16966373627144737,TRUE,small-N exploratory; Model_N(cat/score)=24/24
