model,npar,AIC,BIC,logLik,Chisq,Df,p.value
m_primary,14,699.6393508780008,757.8370566761985,-335.8196754390004,NA,NA,NA
m_mod,20,471.773872760113,554.9134524718241,-215.8869363800565,239.86547811788773,6,5.997368101237028e-49
