contrast,frailty_score_3,cComposite_Z0,estimate,SE,df,t.ratio,p.value,mode
change_12_minus_0,0,-0.43526653694512263,0.3157579029315433,0.09577618731271424,247.33516988062792,3.2968309951676957,0.0011213490047287382,score
change_12_minus_0,1,-0.43526653694512263,0.06047047935643777,0.05649400388551439,247.33516988062792,1.0703875667757898,0.285488317020195,score
change_12_minus_0,2,-0.43526653694512263,-0.1948169442186678,0.05285044077539752,247.33516988062792,-3.6861933667988875,2.7975345030262813e-4,score
change_12_minus_0,3,-0.43526653694512263,-0.4501043677937734,0.08931891122025605,247.33516988062792,-5.03929528074786,9.026650488568396e-7,score
change_12_minus_0,0,-0.014154532179502625,0.48160532298908826,0.06272242964173763,247.33516988062354,7.678358854080674,3.741631557427725e-13,score
change_12_minus_0,1,-0.014154532179502625,0.06788969857242534,0.03721043494208911,247.33516988062354,1.8244801136585103,0.06928591703232755,score
change_12_minus_0,2,-0.014154532179502625,-0.3458259258442376,0.053752684143433496,247.33516988062354,-6.4336494326764555,6.399401480491294e-10,score
change_12_minus_0,3,-0.014154532179502625,-0.7595415502609005,0.09191467201864766,247.33516988062354,-8.263550677815667,8.653214910264895e-15,score
change_12_minus_0,0,0.40695747258611736,0.64745274304663325,0.07806020823823687,247.33516988062792,8.294273838863349,7.070721364230419e-15,score
change_12_minus_0,1,0.40695747258611736,0.07530891778841292,0.04771676814526749,247.33516988062354,1.5782485008025842,0.11578659801398128,score
change_12_minus_0,2,0.40695747258611736,-0.49683490746980735,0.08200983033182652,247.33516988062354,-6.058236012189319,5.093532064045135e-9,score
change_12_minus_0,3,0.40695747258611736,-1.0689787327280276,0.13942583346236154,247.33516988062354,-7.667006222463084,4.0189848223338726e-13,score
