model,npar,AIC,BIC,logLik,Chisq,Df,p.value
m_primary,12,626.5958654204675,676.5808796712445,-301.29793271023374,NA,NA,NA
m_mod,16,364.3576814474379,431.00436711514067,-166.17884072371896,270.23818397302955,4,2.8342815769997536e-57
