model,moderator,term,estimate,std.error,statistic,p.value,conf.low,conf.high
age_int_ext,age_c,FOF_status_fFOF:age_c,-0.012896639238997485,0.011453393149687314,-1.126010350858302,0.26130004737735957,-0.035460098744473034,0.009666820266478067
BMI_int_ext,BMI_c,FOF_status_fFOF:BMI_c,0.002541182781847336,0.01567390337931627,0.16212826635136424,0.8713429863241613,-0.02833678321215105,0.033419148775845724
sex_int_ext,Sex_f,FOF_status_fFOF:Sex_fmale,-0.38517680369659835,0.23941590387905065,-1.6088187854520473,0.10898720092154657,-0.8568318828107965,0.08647827541759978
